Bowler,Match Phase,Innings,Wkt,Dot balls,4s,6s,Runs Conceded,No of Balls,BA,SR,BBI,ECON,BWI,SPI,DBP,BP,BWI_normalized,DBP_normalized,BP_normalized,Econ_normalized,BA_log,SR_log,SPI_log,BBI_log,Cluster
AD Russell,DEATH,2,5,22,11,8,150,86,30.0,17.2,43.0,10.465116279069768,1,4.0,25.58139534883721,22.093023255813957,1.3836222061859889,-1.0568698875513194,0.8861614113452358,1.1594077438444026,3.4339872044851463,2.9014215940827497,1.6094379124341003,3.784189633918261,1
AF Ifill,DEATH,1,2,3,1,0,6,6,3.0,3.0,6.0,6.0,0,2.0,50.0,16.666666666666664,-0.722620504445314,0.6588520810104153,0.26756126269648717,-0.5414333106439657,1.3862943611198906,1.3862943611198906,1.0986122886681096,1.9459101490553132,0
AF Ifill,DEATH,2,1,7,0,2,20,15,20.0,15.0,7.5,8.0,0,0.5,46.66666666666666,13.333333333333334,-0.722620504445314,0.42464241546071746,-0.11243597147345774,0.22040174501228244,3.044522437723423,2.772588722239781,0.4054651081081644,2.1400661634962708,0
AF Milne,DEATH,1,10,28,14,12,211,114,21.1,11.4,114.0,11.105263157894736,1,0.0,24.561403508771928,22.807017543859647,1.3836222061859889,-1.1285374718688523,0.9675561677463863,1.403250910373299,3.0955776085237074,2.517696472610991,0.0,4.74493212836325,1
AF Milne,DEATH,2,6,29,10,3,108,83,18.0,13.833333333333334,41.5,7.80722891566265,1,5.0,34.93975903614458,15.66265060240964,1.3836222061859889,-0.3993241187623126,0.15310426445252814,0.14697186012975225,2.9444389791664403,2.6968769005040847,1.791759469228055,3.7495040759303713,1
AG Cremer,DEATH,1,1,3,1,2,24,12,24.0,12.0,12.0,12.0,0,1.0,25.0,25.0,-0.722620504445314,-1.097720410612313,1.2175543481213504,1.7440718563247788,3.2188758248682006,2.5649493574615367,0.6931471805599453,2.5649493574615367,0
AG Cremer,DEATH,2,3,14,1,0,14,24,4.666666666666667,8.0,12.0,3.5,0,1.5,58.333333333333336,4.166666666666666,-0.722620504445314,1.244376244884658,-1.1574283654408073,-1.4937271302142758,1.7346010553881064,2.1972245773362196,0.9162907318741551,2.5649493574615367,0
AG Weligamage,DEATH,1,2,6,7,1,50,24,25.0,12.0,24.0,12.5,0,2.0,25.0,33.33333333333333,-0.722620504445314,-1.097720410612313,2.1675474335462126,1.9345306202388408,3.258096538021482,2.5649493574615367,1.0986122886681096,3.2188758248682006,0
AJ Hall,DEATH,2,1,2,0,0,7,6,7.0,6.0,3.0,7.0,0,0.5,33.33333333333333,0.0,-0.722620504445314,-0.5121962467380706,-1.6324249081532387,-0.16051578281584164,2.0794415416798357,1.9459101490553132,0.4054651081081644,1.3862943611198906,0
AJ Hosein,DEATH,1,1,4,0,2,26,18,26.0,18.0,18.0,8.666666666666666,0,1.0,22.22222222222222,11.11111111111111,-0.722620504445314,-1.2928951319037274,-0.365767460920088,0.47434676356436495,3.295836866004329,2.9444389791664403,0.6931471805599453,2.9444389791664403,0
AJ Hosein,DEATH,2,1,3,0,0,5,6,5.0,6.0,3.0,5.0,0,0.5,50.0,0.0,-0.722620504445314,0.6588520810104153,-1.6324249081532387,-0.9223508384720898,1.791759469228055,1.9459101490553132,0.4054651081081644,1.3862943611198906,0
AJ McKay,DEATH,2,2,5,1,0,10,10,5.0,5.0,5.0,6.0,0,1.0,50.0,10.0,-0.722620504445314,0.6588520810104153,-0.49243320564340304,-0.5414333106439657,1.791759469228055,1.791759469228055,0.6931471805599453,1.791759469228055,0
AJ Michael,DEATH,2,1,2,1,1,17,10,17.0,10.0,5.0,10.2,0,0.5,20.0,20.0,-0.722620504445314,-1.4490349089368588,0.6475584968664326,1.058420306234155,2.8903717578961645,2.3978952727983707,0.4054651081081644,1.791759469228055,0
AJ Turner,DEATH,2,2,3,1,0,6,6,3.0,3.0,3.0,6.0,0,1.0,50.0,16.666666666666664,-0.722620504445314,0.6588520810104153,0.26756126269648717,-0.5414333106439657,1.3862943611198906,1.3862943611198906,0.6931471805599453,1.3862943611198906,0
AJ Tye,DEATH,1,30,64,16,17,314,209,10.466666666666669,6.966666666666667,209.0,9.014354066985646,1,0.0,30.62200956937799,15.789473684210526,1.3836222061859889,-0.7027017163239484,0.16756199054650175,0.6067869885508582,2.439444275711243,2.075266170269355,0.0,5.3471075307174685,1
AJ Tye,DEATH,2,4,40,21,8,190,114,47.5,28.5,57.0,10.0,1,3.0,35.08771929824561,25.438596491228072,1.3836222061859889,-0.3889280017119143,1.2675539841963435,0.9822368006685306,3.8815637979434374,3.3843902633457743,1.3862943611198906,4.060443010546419,1
AK Markram,DEATH,1,1,6,0,0,0,6,0.0,6.0,6.0,0.0,0,1.0,100.0,0.0,-0.722620504445314,4.171997064255872,-1.6324249081532387,-2.82693847761271,0.0,1.9459101490553132,0.6931471805599453,1.9459101490553132,0
